50,75	82,70	90,08	83,50	62,20	94,26	41,60	72,89	77,03
63,81	77,96	96,65	84,22	82,17	54,62	68,54	80,83	51,66
51,39	67,47	89,53	83,17	54,25	85,51	78,10	54,85	38,20
65,72	71,04	85,17	70,61	74,60	74,20	81,21	98,82	81,61
89,99	64,32	64,46	94,09	72,76	72,17	83,26	114,63	79,19
65,53	88,99	54,52	92,16	73,56	66,98	65,15	87,59	63,07
67,04	101,98	75,51	66,65	78,32	81,97	67,69	91,50	76,36
79,93	86,02	80,74	98,13	83,59	76,84	89,27	94,80	30,03
78,75	81,82	99,41	90,53	64,53	77,25	55,18	41,47	61,60
95,74	77,04	54,84	66,91	59,26	73,38	99,75	69,94	
84,68	64,52	67,56	92,91	70,28	107,53	75,67	62,41	
99,62	57,78	70,98	71,36	83,11	92,28	67,48	83,82	
