46,07	37,72	40,80	54,94	80,38	44,70	54,43	60,56	27,01
59,12	67,28	49,64	48,17	22,15	38,34	44,18	36,49	59,95
38,06	36,97	32,04	58,39	44,93	23,21	52,08	30,78	30,72
46,34	36,97	49,52	34,39	34,78	44,42	65,15	51,91	20,36
55,76	37,17	61,84	31,77	21,31	31,97	66,28	51,14	25,67
49,88	23,58	40,30	52,32	60,11	29,21	46,23	55,13	57,59
49,12	51,88	31,93	40,47	19,79	40,55	44,93	20,70	28,57
65,56	32,34	74,67	42,44	29,32	35,64	49,55	33,50	62,59
58,44	77,49	49,60	68,94	68,98	39,66	46,67	31,99	46,40
29,09	65,13	12,75	61,27	27,25	40,15	42,57	33,13	51,97
46,44	54,56	42,29	57,72	51,72	40,64	52,46	54,41	49,06
55,71	70,55	63,50	75,47	83,14	26,05			
