106,68	75,05	71,36	67,62	63,89	74,35	78,64	55,20	78,40
112,07	81,00	56,32	89,45	100,99	83,30	90,06	83,81	84,99
77,13	64,76	58,87	60,77	86,66	96,38	83,91	78,51	82,41
75,21	75,16	88,07	107,24	73,20	72,04	84,70	68,44	117,45
76,35	100,09	85,66	65,06	93,62	111,76	79,65	61,59	72,68
83,23	104,28	62,03	47,94	98,64	67,60	62,24	84,35	87,53
59,99	100,05	51,08	69,22	69,98	72,62	94,66	72,37	77,48
90,42	85,19	59,37	86,92	59,83	77,70	84,17	67,42	73,19
69,41	72,60	61,82	65,09	77,56	76,31	81,50	53,35	62,87
48,67	55,39	71,74	93,21	82,97	102,20	77,32	56,86	67,09
	110,39	62,09	106,60	50,72	87,66	52,69	75,22	80,48
	75,38	71,46	55,57	90,20	61,93	98,95	66,55	99,23
