67,72	94,99	61,06	59,53	65,82	66,48	19,83	42,29	65,06
39,11	56,42	58,39	75,30	65,53	52,98	50,83	28,07	78,47
77,43	55,86	59,00	78,37	55,83	62,26	63,19	55,70	63,28
46,29	40,99	62,10	27,61	59,27	48,00	66,57	62,36	59,03
31,42	86,48	76,98	78,04	55,01	34,53	57,38	77,94	49,61
80,21	54,17	40,70	41,13	55,95	70,42	67,10	73,49	52,82
50,82	37,40	78,42	80,54	51,97	50,87	49,63	43,62	46,79
65,86	64,68	42,03	32,61	53,25	76,36	63,21	69,72	68,93
60,24	75,27	54,29	45,93	71,00	63,45	58,16	37,72	80,59
44,94	72,06	71,34	57,72	52,09	28,50	68,61	72,95	66,26
44,60	58,29	53,50	46,36	43,44	36,30	60,94		
52,83	72,62	73,99	54,93	49,14	50,33	53,40		
30,40	49,96	60,67	61,73	76,88	66,94	64,80		
