48,33	45,12	52,97	52,70	57,20	45,83	43,18	51,82	50,68
52,94	53,89	47,14	56,68	53,63	65,03	56,54	48,23	48,04
46,29	58,37	42,77	46,42	47,88	45,52	50,15	45,56	53,97
55,24	50,71	57,96	44,51	52,92	52,92	49,87	59,87	69,89
57,06	47,53	38,16	45,06	51,27	56,16	51,14	58,16	49,44
52,48	46,55	47,23	52,34	60,13	51,07	52,65	47,37	55,51
55,58	55,76	57,76	45,87	56,05	34,78	55,80	51,46	54,14
52,93	45,33	44,42	49,32	44,02	46,73	51,17	52,64	45,71
57,12	53,26	42,80	44,48	56,61	62,08	54,37	53,60	64,32
33,38	56,43	58,27	55,12	53,16	47,76	61,96	49,76	52,48
51,15	44,78	49,90	56,98	34,23	49,98	44,43		
58,37	47,26	62,69	41,67	44,05	46,49	59,44		
