54,06	59,19	61,58	49,47	51,56	59,13	50,11	49,69	55,14
55,60	48,23	46,12	49,14	50,46	38,58	49,47	43,39	44,54
50,54	51,93	48,96	46,47	60,05	50,20	41,18	45,80	48,52
58,70	48,46	45,32	54,48	29,46	44,45	50,02	44,14	50,73
46,69	35,46	43,23	45,60	41,77	49,64	53,73	57,85	59,46
52,60	50,48	59,31	56,60	49,38	46,82	52,24	47,84	56,61
47,20	47,47	52,26	54,23	57,36	45,70	58,00	50,90	44,53
54,88	45,58	47,44	43,08	50,33	53,54	46,62	52,78	51,09
56,20	60,43	50,16	45,47	44,30	52,55	42,09	48,01	49,49
47,54	54,60	59,83	41,60	47,66	48,53	49,91	55,95	53,51
52,63	55,07	48,21	45,78	48,41	45,63	50,16	48,43	45,71
30,57	43,63	36,28	52,13	58,52	45,39			
