64,03	59,85	56,44	63,02	55,83	72,37	39,18	52,11	70,67
71,86	63,29	59,15	59,32	83,33	58,80	51,78	66,61	60,56
67,21	61,76	82,73	64,87	65,15	75,49	60,72	59,12	59,67
74,42	72,04	71,35	81,19	79,15	66,55	56,86	71,25	57,29
61,11	55,58	63,65	60,41	57,21	71,21	55,32	73,05	53,41
71,17	54,29	69,46	59,58	37,78	55,21	63,79	54,16	70,69
50,58	65,20	81,96	69,60	43,46	60,55	61,75	72,79	69,29
66,54	56,98	55,98	54,13	64,93	43,85	68,07	60,64	56,38
68,74	79,41	78,20	58,60	75,92	49,83	70,35	64,16	62,07
56,55	63,07	48,52	64,09	72,88	58,72	59,48	57,71	55,77
	72,54	64,42	75,49	48,90	51,57	80,00	60,19	67,11
	74,66	63,11	65,12	73,30	44,88	71,20	56,64	59,11
	82,51	70,06	73,17	59,42	61,18	73,50	77,20	51,70
