32,97	31,41	42,50	49,68	50,83	59,13	46,21	33,99	34,55
46,36	53,53	39,56	38,57	36,83	41,80	41,86	34,27	54,00
40,36	48,32	48,66	33,26	39,84	35,28	43,49	26,37	53,96
49,18	46,42	35,06	30,41	41,27	38,15	48,03	28,03	36,77
39,96	50,53	38,79	57,26	46,60	31,84	40,85	59,28	47,44
42,17	35,55	29,21	32,92	52,08	37,01	37,56	50,96	48,47
46,30	53,75	56,66	50,97	29,68	30,97	48,48	41,47	37,10
38,03	59,45	36,56	70,14	46,79	40,05	28,38	25,53	20,63
34,02	58,67	30,61	61,25	41,19	51,54	30,41	45,37	52,46
36,09	40,48	44,80	41,16	50,47	48,40	35,31	42,74	52,58
37,96	55,11	52,96	39,38	37,98	40,41	38,25	60,24	37,33
			35,61	44,34	40,79	31,86	27,19	42,28
